date,product_id,units_sold,predicted_demand,prediction_error,absolute_error,discount_percent,selling_price
2024-03-23,P001,39,34.11,4.89,4.89,20,10000.0
2024-03-24,P001,36,34.51,1.49,1.49,0,12500.0
2024-03-25,P001,30,33.32,-3.32,3.32,5,11875.0
2024-03-26,P001,29,33.96,-4.96,4.96,5,11875.0
2024-03-27,P001,39,34.54,4.46,4.46,5,11875.0
2024-03-28,P001,27,32.93,-5.93,5.93,0,12500.0
2024-03-29,P001,40,35.35,4.65,4.65,10,11250.0
2024-03-30,P001,33,30.93,2.07,2.07,0,12500.0
2024-03-31,P001,29,28.43,0.57,0.57,15,10625.0
2024-04-01,P001,31,31.68,-0.68,0.68,0,12500.0
2024-04-02,P001,33,31.55,1.45,1.45,10,11250.0
2024-04-03,P001,36,33.17,2.83,2.83,15,10625.0
2024-04-04,P001,20,24.49,-4.49,4.49,10,11250.0
2024-04-05,P001,42,36.37,5.63,5.63,5,11875.0
2024-04-06,P001,24,24.49,-0.49,0.49,0,12500.0
2024-04-07,P001,24,24.23,-0.23,0.23,15,10625.0
2024-04-08,P001,30,30.12,-0.12,0.12,10,11250.0
2024-04-09,P001,23,26.39,-3.39,3.39,20,10000.0
2024-04-10,P001,27,30.36,-3.36,3.36,5,11875.0
2024-04-11,P001,32,31.05,0.95,0.95,10,11250.0
2024-04-12,P001,22,26.79,-4.79,4.79,10,11250.0
2024-04-13,P001,14,19.06,-5.06,5.06,0,12500.0
2024-04-14,P001,23,21.08,1.92,1.92,10,11250.0
2024-04-15,P001,25,28.03,-3.03,3.03,0,12500.0
2024-04-16,P001,20,24.65,-4.65,4.65,0,12500.0
2024-04-17,P001,28,29.36,-1.36,1.36,10,11250.0
2024-04-18,P001,31,30.57,0.43,0.43,10,11250.0
2024-04-19,P001,43,34.78,8.22,8.22,10,11250.0
2024-04-20,P001,20,22.03,-2.03,2.03,10,11250.0
2024-04-21,P001,18,20.76,-2.76,2.76,0,12500.0
2024-04-22,P001,32,30.84,1.16,1.16,5,11875.0
2024-04-23,P001,34,30.55,3.45,3.45,10,11250.0
2024-04-24,P001,22,27.26,-5.26,5.26,5,11875.0
2024-04-25,P001,29,29.7,-0.7,0.7,10,11250.0
2024-04-26,P001,28,29.16,-1.16,1.16,0,12500.0
2024-04-27,P001,26,23.92,2.08,2.08,5,11875.0
2024-04-28,P001,33,25.87,7.13,7.13,10,11250.0
2024-04-29,P001,32,31.16,0.84,0.84,0,12500.0
2024-04-30,P001,33,30.86,2.14,2.14,5,11875.0
2024-05-01,P001,36,31.76,4.24,4.24,5,11875.0
2024-05-02,P001,32,30.76,1.24,1.24,15,10625.0
2024-05-03,P001,36,31.9,4.1,4.1,0,12500.0
2024-05-04,P001,21,21.87,-0.87,0.87,0,12500.0
2024-05-05,P001,25,23.72,1.28,1.28,10,11250.0
2024-05-06,P001,30,29.04,0.96,0.96,10,11250.0
2024-05-07,P001,19,27.76,-8.76,8.76,10,11250.0
2024-05-08,P001,29,30.31,-1.31,1.31,20,10000.0
2024-05-09,P001,27,28.5,-1.5,1.5,0,12500.0
2024-05-10,P001,41,30.36,10.64,10.64,10,11250.0
2024-05-11,P001,32,27.51,4.49,4.49,5,11875.0
2024-05-12,P001,27,24.57,2.43,2.43,10,11250.0
2024-05-13,P001,23,28.61,-5.61,5.61,0,12500.0
2024-05-14,P001,28,28.78,-0.78,0.78,5,11875.0
2024-05-15,P001,49,32.94,16.06,16.06,15,10625.0
2024-05-16,P001,27,29.65,-2.65,2.65,20,10000.0
2024-05-17,P001,36,34.24,1.76,1.76,5,11875.0
2024-05-18,P001,25,24.27,0.73,0.73,5,11875.0
2024-05-19,P001,20,21.7,-1.7,1.7,10,11250.0
2024-05-20,P001,40,33.24,6.76,6.76,20,10000.0
2024-05-21,P001,32,31.52,0.48,0.48,10,11250.0
2024-05-22,P001,30,30.34,-0.34,0.34,5,11875.0
2024-05-23,P001,30,29.39,0.61,0.61,5,11875.0
2024-05-24,P001,27,29.27,-2.27,2.27,0,12500.0
2024-05-25,P001,25,25.99,-0.99,0.99,5,11875.0
2024-05-26,P001,29,26.75,2.25,2.25,20,10000.0
2024-05-27,P001,27,30.08,-3.08,3.08,5,11875.0
2024-05-28,P001,25,28.73,-3.73,3.73,10,11250.0
2024-05-29,P001,28,29.89,-1.89,1.89,0,12500.0
2024-05-30,P001,30,29.37,0.63,0.63,0,12500.0
2024-05-31,P001,24,27.82,-3.82,3.82,5,11875.0
2024-06-01,P001,30,25.42,4.58,4.58,5,11875.0
2024-06-02,P001,27,25.35,1.65,1.65,5,11875.0
2024-06-03,P001,30,29.4,0.6,0.6,5,11875.0
2024-06-04,P001,25,28.41,-3.41,3.41,0,12500.0
2024-06-05,P001,31,31.63,-0.63,0.63,0,12500.0
2024-06-06,P001,30,29.74,0.26,0.26,10,11250.0
2024-06-07,P001,43,37.54,5.46,5.46,10,11250.0
2024-06-08,P001,26,25.06,0.94,0.94,10,11250.0
2024-06-09,P001,23,23.53,-0.53,0.53,10,11250.0
2024-06-10,P001,35,33.12,1.88,1.88,0,12500.0
2024-06-11,P001,22,28.11,-6.11,6.11,0,12500.0
2024-06-12,P001,26,30.05,-4.05,4.05,20,10000.0
2024-06-13,P001,32,32.56,-0.56,0.56,0,12500.0
2024-06-14,P001,41,36.63,4.37,4.37,10,11250.0
2024-06-15,P001,23,24.52,-1.52,1.52,5,11875.0
2024-06-16,P001,27,25.06,1.94,1.94,5,11875.0
2024-06-17,P001,22,28.3,-6.3,6.3,5,11875.0
2024-06-18,P001,31,29.84,1.16,1.16,5,11875.0
2024-06-19,P001,38,31.78,6.22,6.22,5,11875.0
2024-06-20,P001,26,29.3,-3.3,3.3,15,10625.0
2024-06-21,P001,31,29.83,1.17,1.17,5,11875.0
2024-06-22,P001,21,23.25,-2.25,2.25,20,10000.0
2024-06-23,P001,31,26.49,4.51,4.51,10,11250.0
2024-06-24,P001,33,29.11,3.89,3.89,0,12500.0
2024-06-25,P001,22,27.7,-5.7,5.7,10,11250.0
2024-06-26,P001,33,30.23,2.77,2.77,5,11875.0
2024-06-27,P001,9,22.65,-13.65,13.65,15,10625.0
2024-06-28,P001,28,30.14,-2.14,2.14,15,10625.0
2024-06-29,P001,29,24.64,4.36,4.36,5,11875.0
2024-06-30,P001,25,24.75,0.25,0.25,10,11250.0
2024-07-01,P001,33,31.81,1.19,1.19,10,11250.0
2024-07-02,P001,32,31.71,0.29,0.29,5,11875.0
2024-07-03,P001,33,30.94,2.06,2.06,5,11875.0
2024-07-04,P001,28,30.09,-2.09,2.09,10,11250.0
2024-07-05,P001,33,31.59,1.41,1.41,10,11250.0
2024-07-06,P001,16,21.12,-5.12,5.12,0,12500.0
2024-07-07,P001,16,20.15,-4.15,4.15,5,11875.0
2024-07-08,P001,31,31.86,-0.86,0.86,10,11250.0
2024-07-09,P001,38,30.96,7.04,7.04,0,12500.0
2024-07-10,P001,22,28.81,-6.81,6.81,5,11875.0
2024-07-11,P001,34,31.51,2.49,2.49,0,12500.0
2024-07-12,P001,25,28.77,-3.77,3.77,15,10625.0
2024-07-13,P001,27,24.31,2.69,2.69,10,11250.0
2024-07-14,P001,25,24.13,0.87,0.87,0,12500.0
2024-07-15,P001,23,29.46,-6.46,6.46,0,12500.0
2024-07-16,P001,23,28.9,-5.9,5.9,5,11875.0
2024-07-17,P001,28,29.14,-1.14,1.14,5,11875.0
2024-07-18,P001,24,28.54,-4.54,4.54,0,12500.0
2024-07-19,P001,34,31.0,3.0,3.0,0,12500.0
2024-07-20,P001,31,26.63,4.37,4.37,20,10000.0
2024-07-21,P001,26,25.01,0.99,0.99,20,10000.0
2024-07-22,P001,26,28.59,-2.59,2.59,10,11250.0
2024-07-23,P001,37,30.43,6.57,6.57,15,10625.0
2024-07-24,P001,25,29.47,-4.47,4.47,5,11875.0
2024-07-25,P001,29,29.29,-0.29,0.29,5,11875.0
2024-07-26,P001,37,31.73,5.27,5.27,10,11250.0
2024-07-27,P001,22,23.75,-1.75,1.75,0,12500.0
2024-07-28,P001,20,23.29,-3.29,3.29,0,12500.0
2024-07-29,P001,38,33.46,4.54,4.54,5,11875.0
2024-07-30,P001,35,32.68,2.32,2.32,5,11875.0
2024-07-31,P001,44,34.43,9.57,9.57,5,11875.0
2024-08-01,P001,40,36.5,3.5,3.5,0,12500.0
2024-08-02,P001,37,34.34,2.66,2.66,5,11875.0
2024-08-03,P001,35,30.59,4.41,4.41,0,12500.0
2024-08-04,P001,23,23.31,-0.31,0.31,0,12500.0
2024-08-05,P001,30,32.2,-2.2,2.2,15,10625.0
2024-08-06,P001,32,31.75,0.25,0.25,5,11875.0
2024-08-07,P001,26,29.83,-3.83,3.83,20,10000.0
2024-08-08,P001,36,33.99,2.01,2.01,0,12500.0
2024-08-09,P001,32,32.89,-0.89,0.89,5,11875.0
2024-08-10,P001,28,25.02,2.98,2.98,5,11875.0
2024-08-11,P001,29,27.33,1.67,1.67,0,12500.0
2024-08-12,P001,26,30.89,-4.89,4.89,10,11250.0
2024-08-13,P001,35,33.09,1.91,1.91,0,12500.0
2024-08-14,P001,30,32.04,-2.04,2.04,5,11875.0
2024-08-15,P001,32,31.28,0.72,0.72,0,12500.0
2024-08-16,P001,30,29.44,0.56,0.56,0,12500.0
2024-08-17,P001,23,24.31,-1.31,1.31,20,10000.0
2024-08-18,P001,22,24.73,-2.73,2.73,0,12500.0
2024-08-19,P001,33,32.24,0.76,0.76,10,11250.0
2024-08-20,P001,46,36.15,9.85,9.85,10,11250.0
2024-08-21,P001,27,29.96,-2.96,2.96,15,10625.0
2024-08-22,P001,32,31.39,0.61,0.61,0,12500.0
2024-08-23,P001,32,30.3,1.7,1.7,20,10000.0
2024-08-24,P001,24,25.09,-1.09,1.09,10,11250.0
2024-08-25,P001,26,25.75,0.25,0.25,0,12500.0
2024-08-26,P001,28,28.96,-0.96,0.96,10,11250.0
2024-08-27,P001,27,28.87,-1.87,1.87,0,12500.0
2024-08-28,P001,39,34.04,4.96,4.96,5,11875.0
2024-08-29,P001,29,29.08,-0.08,0.08,10,11250.0
2024-08-30,P001,31,30.52,0.48,0.48,0,12500.0
2024-08-31,P001,33,28.29,4.71,4.71,5,11875.0
2024-09-01,P001,29,28.0,1.0,1.0,10,11250.0
2024-09-02,P001,32,31.11,0.89,0.89,5,11875.0
2024-09-03,P001,22,27.04,-5.04,5.04,0,12500.0
2024-09-04,P001,38,33.63,4.37,4.37,5,11875.0
2024-09-05,P001,28,30.08,-2.08,2.08,0,12500.0
2024-09-06,P001,34,31.59,2.41,2.41,10,11250.0
2024-09-07,P001,25,24.19,0.81,0.81,10,11250.0
2024-09-08,P001,23,23.88,-0.88,0.88,10,11250.0
2024-09-09,P001,30,30.47,-0.47,0.47,10,11250.0
2024-09-10,P001,25,29.62,-4.62,4.62,5,11875.0
2024-09-11,P001,37,34.21,2.79,2.79,10,11250.0
2024-09-12,P001,37,32.44,4.56,4.56,5,11875.0
2024-09-13,P001,26,29.44,-3.44,3.44,0,12500.0
2024-09-14,P001,19,22.43,-3.43,3.43,0,12500.0
2024-09-15,P001,26,25.43,0.57,0.57,10,11250.0
2024-09-16,P001,48,36.98,11.02,11.02,5,11875.0
2024-09-17,P001,42,34.99,7.01,7.01,20,10000.0
2024-09-18,P001,35,30.4,4.6,4.6,10,11250.0
2024-09-19,P001,27,28.34,-1.34,1.34,0,12500.0
2024-09-20,P001,28,30.29,-2.29,2.29,0,12500.0
2024-09-21,P001,17,21.63,-4.63,4.63,0,12500.0
2024-09-22,P001,33,29.3,3.7,3.7,0,12500.0
2024-09-23,P001,37,32.7,4.3,4.3,15,10625.0
2024-09-24,P001,17,22.91,-5.91,5.91,5,11875.0
2024-09-25,P001,29,29.06,-0.06,0.06,0,12500.0
2024-09-26,P001,42,35.68,6.32,6.32,15,10625.0
2024-09-27,P001,14,21.71,-7.71,7.71,15,10625.0
2024-09-28,P001,25,24.96,0.04,0.04,10,11250.0
2024-09-29,P001,20,21.87,-1.87,1.87,20,10000.0
2024-09-30,P001,34,31.93,2.07,2.07,5,11875.0
2024-10-01,P001,30,32.41,-2.41,2.41,0,12500.0
2024-10-02,P001,42,39.63,2.37,2.37,5,11875.0
2024-10-03,P001,42,38.48,3.52,3.52,0,12500.0
2024-10-04,P001,39,38.55,0.45,0.45,10,11250.0
2024-10-05,P001,49,43.92,5.08,5.08,0,12500.0
2024-10-06,P001,25,26.73,-1.73,1.73,5,11875.0
2024-10-07,P001,28,33.76,-5.76,5.76,5,11875.0
2024-10-08,P001,63,51.1,11.9,11.9,0,12500.0
2024-10-09,P001,36,38.36,-2.36,2.36,10,11250.0
2024-10-10,P001,39,39.7,-0.7,0.7,0,12500.0
2024-10-11,P001,38,39.08,-1.08,1.08,0,12500.0
2024-10-12,P001,32,31.77,0.23,0.23,15,10625.0
2024-10-13,P001,22,27.45,-5.45,5.45,0,12500.0
2024-10-14,P001,43,40.65,2.35,2.35,5,11875.0
2024-10-15,P001,36,39.75,-3.75,3.75,10,11250.0
2024-10-16,P001,45,41.68,3.32,3.32,15,10625.0
2024-10-17,P001,38,39.2,-1.2,1.2,0,12500.0
2024-10-18,P001,32,35.98,-3.98,3.98,0,12500.0
2024-10-19,P001,35,32.83,2.17,2.17,5,11875.0
2024-10-20,P001,24,28.75,-4.75,4.75,15,10625.0
2024-10-21,P001,31,34.73,-3.73,3.73,5,11875.0
2024-10-22,P001,34,36.09,-2.09,2.09,15,10625.0
2024-10-23,P001,51,43.67,7.33,7.33,5,11875.0
2024-10-24,P001,23,28.21,-5.21,5.21,0,12500.0
2024-10-25,P001,36,37.63,-1.63,1.63,15,10625.0
2024-10-26,P001,35,33.67,1.33,1.33,15,10625.0
2024-10-27,P001,47,40.39,6.61,6.61,10,11250.0
2024-10-28,P001,18,28.65,-10.65,10.65,10,11250.0
2024-10-29,P001,42,41.02,0.98,0.98,20,10000.0
2024-10-30,P001,39,39.76,-0.76,0.76,15,10625.0
2024-10-31,P001,27,34.84,-7.84,7.84,5,11875.0
2024-11-01,P001,45,43.24,1.76,1.76,5,11875.0
2024-11-02,P001,34,32.58,1.42,1.42,10,11250.0
2024-11-03,P001,39,34.92,4.08,4.08,5,11875.0
2024-11-04,P001,39,38.75,0.25,0.25,5,11875.0
2024-11-05,P001,47,41.72,5.28,5.28,5,11875.0
2024-11-06,P001,45,42.04,2.96,2.96,0,12500.0
2024-11-07,P001,35,39.29,-4.29,4.29,10,11250.0
2024-11-08,P001,28,34.53,-6.53,6.53,5,11875.0
2024-11-09,P001,27,29.42,-2.42,2.42,10,11250.0
2024-11-10,P001,32,32.24,-0.24,0.24,20,10000.0
2024-11-11,P001,45,38.86,6.14,6.14,5,11875.0
2024-11-12,P001,36,37.86,-1.86,1.86,5,11875.0
2024-11-13,P001,42,40.36,1.64,1.64,0,12500.0
2024-11-14,P001,38,39.2,-1.2,1.2,0,12500.0
2024-11-15,P001,43,41.46,1.54,1.54,5,11875.0
2024-11-16,P001,28,30.15,-2.15,2.15,0,12500.0
2024-11-17,P001,44,35.23,8.77,8.77,0,12500.0
2024-11-18,P001,32,35.55,-3.55,3.55,5,11875.0
2024-11-19,P001,48,42.21,5.79,5.79,0,12500.0
2024-11-20,P001,40,40.71,-0.71,0.71,0,12500.0
2024-11-21,P001,46,41.76,4.24,4.24,10,11250.0
2024-11-22,P001,47,44.9,2.1,2.1,10,11250.0
2024-11-23,P001,39,36.77,2.23,2.23,15,10625.0
2024-11-24,P001,35,33.07,1.93,1.93,0,12500.0
2024-11-25,P001,42,40.69,1.31,1.31,5,11875.0
2024-11-26,P001,34,37.03,-3.03,3.03,0,12500.0
2024-11-27,P001,46,43.79,2.21,2.21,20,10000.0
2024-11-28,P001,52,46.5,5.5,5.5,10,11250.0
2024-11-29,P001,19,26.91,-7.91,7.91,5,11875.0
2024-11-30,P001,34,34.71,-0.71,0.71,0,12500.0
2024-12-01,P001,29,30.45,-1.45,1.45,5,11875.0
2024-12-02,P001,57,46.93,10.07,10.07,10,11250.0
2024-12-03,P001,45,41.29,3.71,3.71,15,10625.0
2024-12-04,P001,39,39.42,-0.42,0.42,5,11875.0
2024-12-05,P001,49,44.86,4.14,4.14,0,12500.0
2024-12-06,P001,46,44.98,1.02,1.02,10,11250.0
2024-12-07,P001,33,32.58,0.42,0.42,0,12500.0
2024-12-08,P001,29,31.55,-2.55,2.55,10,11250.0
2024-12-09,P001,20,30.77,-10.77,10.77,20,10000.0
2024-12-10,P001,38,37.42,0.58,0.58,5,11875.0
2024-12-11,P001,35,37.21,-2.21,2.21,0,12500.0
2024-12-12,P001,26,31.3,-5.3,5.3,15,10625.0
2024-12-13,P001,38,38.52,-0.52,0.52,0,12500.0
2024-12-14,P001,35,32.25,2.75,2.75,0,12500.0
2024-12-15,P001,31,32.05,-1.05,1.05,5,11875.0
2024-12-16,P001,49,44.23,4.77,4.77,20,10000.0
2024-12-17,P001,39,40.33,-1.33,1.33,15,10625.0
2024-12-18,P001,50,43.29,6.71,6.71,5,11875.0
2024-12-19,P001,54,49.14,4.86,4.86,0,12500.0
2024-12-20,P001,36,35.85,0.15,0.15,10,11250.0
2024-12-21,P001,29,31.29,-2.29,2.29,0,12500.0
2024-12-22,P001,49,40.36,8.64,8.64,5,11875.0
2024-12-23,P001,44,40.63,3.37,3.37,5,11875.0
2024-12-24,P001,42,41.04,0.96,0.96,15,10625.0
2024-12-25,P001,41,41.85,-0.85,0.85,0,12500.0
2024-12-26,P001,60,51.51,8.49,8.49,5,11875.0
2024-12-27,P001,48,44.79,3.21,3.21,5,11875.0
2024-12-28,P001,31,30.92,0.08,0.08,0,12500.0
2024-12-29,P001,21,22.54,-1.54,1.54,15,10625.0
2024-12-30,P001,45,45.15,-0.15,0.15,10,11250.0
2024-12-31,P001,39,41.44,-2.44,2.44,5,11875.0
2025-01-01,P001,34,35.68,-1.68,1.68,0,12500.0
2025-01-02,P001,47,42.84,4.16,4.16,0,12500.0
2025-01-03,P001,10,19.13,-9.13,9.13,5,11875.0
2025-01-04,P001,23,26.35,-3.35,3.35,5,11875.0
2025-01-05,P001,34,31.83,2.17,2.17,10,11250.0
2025-01-06,P001,35,33.73,1.27,1.27,15,10625.0
2025-01-07,P001,40,35.16,4.84,4.84,10,11250.0
2025-01-08,P001,38,36.13,1.87,1.87,0,12500.0
2025-01-09,P001,30,30.94,-0.94,0.94,15,10625.0
2025-01-10,P001,38,37.79,0.21,0.21,5,11875.0
2025-01-11,P001,25,26.18,-1.18,1.18,10,11250.0
2025-01-12,P001,23,24.36,-1.36,1.36,15,10625.0
2025-01-13,P001,33,32.56,0.44,0.44,0,12500.0
2025-01-14,P001,34,34.72,-0.72,0.72,20,10000.0
2025-01-15,P001,32,32.59,-0.59,0.59,0,12500.0
2025-01-16,P001,28,31.3,-3.3,3.3,10,11250.0
2025-01-17,P001,36,34.13,1.87,1.87,20,10000.0
2025-01-18,P001,36,32.77,3.23,3.23,10,11250.0
2025-01-19,P001,25,26.13,-1.13,1.13,0,12500.0
2025-01-20,P001,36,34.62,1.38,1.38,10,11250.0
2025-01-21,P001,22,28.09,-6.09,6.09,10,11250.0
2025-01-22,P001,41,38.04,2.96,2.96,15,10625.0
2025-01-23,P001,48,39.01,8.99,8.99,5,11875.0
2025-01-24,P001,29,31.46,-2.46,2.46,0,12500.0
2025-01-25,P001,25,26.41,-1.41,1.41,15,10625.0
2025-01-26,P001,34,33.58,0.42,0.42,10,11250.0
2025-01-27,P001,34,35.05,-1.05,1.05,20,10000.0
2025-01-28,P001,26,29.93,-3.93,3.93,5,11875.0
2025-01-29,P001,27,31.23,-4.23,4.23,0,12500.0
2025-01-30,P001,39,34.72,4.28,4.28,10,11250.0
2025-01-31,P001,22,30.26,-8.26,8.26,0,12500.0
2025-02-01,P001,24,25.16,-1.16,1.16,0,12500.0
2025-02-02,P001,21,23.3,-2.3,2.3,15,10625.0
2025-02-03,P001,44,36.95,7.05,7.05,20,10000.0
2025-02-04,P001,37,35.22,1.78,1.78,10,11250.0
2025-02-05,P001,38,35.2,2.8,2.8,10,11250.0
2025-02-06,P001,30,33.54,-3.54,3.54,15,10625.0
2025-02-07,P001,41,36.46,4.54,4.54,10,11250.0
2025-02-08,P001,20,24.08,-4.08,4.08,5,11875.0
2025-02-09,P001,31,27.37,3.63,3.63,0,12500.0
2025-02-10,P001,40,34.61,5.39,5.39,0,12500.0
2025-02-11,P001,30,33.68,-3.68,3.68,0,12500.0
2025-02-12,P001,33,34.3,-1.3,1.3,5,11875.0
2025-02-13,P001,30,33.7,-3.7,3.7,10,11250.0
2025-02-14,P001,41,34.73,6.27,6.27,0,12500.0
2025-02-15,P001,32,30.55,1.45,1.45,20,10000.0
2025-02-16,P001,30,29.21,0.79,0.79,0,12500.0
2025-02-17,P001,47,37.6,9.4,9.4,0,12500.0
2025-02-18,P001,33,35.09,-2.09,2.09,0,12500.0
2025-02-19,P001,30,34.05,-4.05,4.05,5,11875.0
2025-02-20,P001,41,35.68,5.32,5.32,0,12500.0
2025-02-21,P001,38,35.3,2.7,2.7,0,12500.0
2025-02-22,P001,37,32.98,4.02,4.02,10,11250.0
2025-02-23,P001,35,31.7,3.3,3.3,10,11250.0
2025-02-24,P001,43,37.48,5.52,5.52,10,11250.0
2025-02-25,P001,38,36.17,1.83,1.83,15,10625.0
2025-02-26,P001,44,37.52,6.48,6.48,5,11875.0
2025-02-27,P001,38,37.25,0.75,0.75,0,12500.0
2025-02-28,P001,39,37.59,1.41,1.41,10,11250.0
2025-03-01,P001,36,32.48,3.52,3.52,15,10625.0
2025-03-02,P001,26,28.07,-2.07,2.07,10,11250.0
2025-03-03,P001,20,27.66,-7.66,7.66,10,11250.0
2025-03-04,P001,25,29.15,-4.15,4.15,5,11875.0
2025-03-05,P001,43,35.5,7.5,7.5,10,11250.0
2025-03-06,P001,25,31.48,-6.48,6.48,5,11875.0
2025-03-07,P001,31,33.16,-2.16,2.16,15,10625.0
2025-03-08,P001,30,28.1,1.9,1.9,10,11250.0
2025-03-09,P001,31,29.28,1.72,1.72,10,11250.0
2025-03-10,P001,24,31.45,-7.45,7.45,10,11250.0
2025-03-11,P001,48,43.17,4.83,4.83,15,10625.0
2025-03-12,P001,38,34.06,3.94,3.94,20,10000.0
2025-03-13,P001,42,39.65,2.35,2.35,15,10625.0
2025-03-14,P001,30,31.4,-1.4,1.4,15,10625.0
2025-03-15,P001,15,22.56,-7.56,7.56,0,12500.0
2025-03-16,P001,29,28.98,0.02,0.02,5,11875.0
2025-03-17,P001,32,36.46,-4.46,4.46,5,11875.0
2025-03-18,P001,30,33.84,-3.84,3.84,10,11250.0
2025-03-19,P001,36,33.41,2.59,2.59,20,10000.0
2025-03-20,P001,46,38.75,7.25,7.25,5,11875.0
2025-03-21,P001,45,39.37,5.63,5.63,15,10625.0
2025-03-22,P001,38,33.13,4.87,4.87,0,12500.0
2025-03-23,P001,24,26.65,-2.65,2.65,0,12500.0
2025-03-24,P001,25,30.82,-5.82,5.82,10,11250.0
2025-03-25,P001,24,31.59,-7.59,7.59,5,11875.0
2025-03-26,P001,37,34.4,2.6,2.6,5,11875.0
2025-03-27,P001,37,34.04,2.96,2.96,5,11875.0
2025-03-28,P001,34,33.15,0.85,0.85,5,11875.0
2025-03-29,P001,27,26.6,0.4,0.4,0,12500.0
2025-03-30,P001,27,27.77,-0.77,0.77,20,10000.0
2025-03-31,P001,27,34.09,-7.09,7.09,0,12500.0
2025-04-01,P001,35,31.31,3.69,3.69,5,11875.0
2025-04-02,P001,32,29.89,2.11,2.11,5,11875.0
2025-04-03,P001,23,26.14,-3.14,3.14,0,12500.0
2025-04-04,P001,30,29.76,0.24,0.24,10,11250.0
2025-04-05,P001,20,22.89,-2.89,2.89,0,12500.0
2025-04-06,P001,26,23.09,2.91,2.91,5,11875.0
2025-04-07,P001,29,30.26,-1.26,1.26,0,12500.0
2025-04-08,P001,30,30.73,-0.73,0.73,15,10625.0
2025-04-09,P001,36,32.31,3.69,3.69,0,12500.0
2025-04-10,P001,37,33.36,3.64,3.64,10,11250.0
2025-04-11,P001,31,30.99,0.01,0.01,20,10000.0
2025-04-12,P001,20,22.37,-2.37,2.37,15,10625.0
2025-04-13,P001,25,23.48,1.52,1.52,5,11875.0
2025-04-14,P001,32,31.65,0.35,0.35,0,12500.0
2025-04-15,P001,20,26.64,-6.64,6.64,10,11250.0
2025-04-16,P001,24,28.29,-4.29,4.29,10,11250.0
